"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"AMER3",2.60108054567441,-1.22644839313234,0.310781221721273,-3.94634008560624,7.9354879155536e-05,0.000212898272487344,"DOWN"
"CALML3",3.30327287006333,-1.66973131459656,0.329583106279064,-5.06619205531358,4.05852454343153e-07,1.60488338153832e-06,"DOWN"
"GLDC",320.42758122257,-1.03121409275584,0.175738651775133,-5.86788439731136,4.41390814880958e-09,2.36545184845883e-08,"DOWN"
"UCN3",167.229815872395,-1.50976590901375,0.231968744008321,-6.50848852705598,7.5910705864477e-11,5.42565298131471e-10,"DOWN"
"CA8",378.122719658978,-1.07025133503678,0.168193597169289,-6.36321092508389,1.97579066052674e-10,1.32976988136487e-09,"DOWN"
"OTOS",2.39601322677284,-1.7279902921894,0.381153642431623,-4.53357937540735,5.79924588736798e-06,1.88955368757421e-05,"DOWN"
"DYNAP",0.735073781019356,-1.41749590249417,0.311043577358411,-4.55722607916387,5.18336229673864e-06,1.70196958432838e-05,"DOWN"
"RNF186",30.9692337359798,-1.46597537530408,0.216753166000153,-6.76334008105354,1.34846203475467e-11,1.08159973330878e-10,"DOWN"
"NA.30",NA,NA,NA,NA,NA,NA,NA
"MKRN3",58.0905104258801,-1.00923014470734,0.227927806952778,-4.4278500205832,9.5177042561359e-06,2.99643956802366e-05,"DOWN"
"NLRP8",2.31479126491855,-1.0602915843854,0.382042314155644,-2.77532499699351,0.00551465694325977,0.0105658290062986,"DOWN"
"ATOH7",7.75322268729234,-1.1327231991693,0.159323151429541,-7.10959574302819,1.16383341531859e-12,1.08745336040147e-11,"DOWN"
"NLRP11",19.8079814590061,-1.83768055569336,0.230678183841539,-7.96642545510816,1.63329937183349e-15,2.18194914711491e-14,"DOWN"
"F2",27.1145712531288,-2.64950829141793,0.283030625845176,-9.36120705491168,7.88308907254461e-21,1.86921276293147e-19,"DOWN"
"ALX1",18.3067652826566,-1.87516678695381,0.295230053408264,-6.35154438142755,2.13163894806209e-10,1.42677797859472e-09,"DOWN"
"GREM2",250.259036417238,-1.04977611741608,0.18739980726258,-5.60179934414319,2.12138045978088e-08,1.02983378683908e-07,"DOWN"
"OR56A1",0.60176427501383,-1.29030480426885,0.401181580279064,-3.21626133326289,0.00129872508072176,0.0028004702454196,"DOWN"
"NQO1",13858.7397649099,-1.15086494930978,0.13564277930754,-8.48452792832007,2.1659624487304e-17,3.59904297427146e-16,"DOWN"
"SAGE1",7.53965652982926,-1.21795502763437,0.331888676767215,-3.66976975381608,0.000242769034029092,0.000598130608299967,"DOWN"
"SOX2",1085.26807535922,-1.20908741339885,0.177890609570448,-6.79680291342208,1.06966267498237e-11,8.71969686243469e-11,"DOWN"
