"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"TNFSF8",164.36670246698,1.31196910474218,0.0766585601056187,17.1144501401353,1.15804046895907e-65,1.13005449095923e-63,"UP"
"DOCK8",2338.15975999876,1.11215840220141,0.0652623036634497,17.0413598627576,4.05199398999478e-65,3.89323894341242e-63,"UP"
"PTGDS",94.8841494594937,1.27132885148569,0.106923665039493,11.890060549422,1.33309906169917e-32,4.68610581988663e-31,"UP"
"P2RX1",188.336068103536,1.04270258447783,0.0917644811638932,11.3628124003179,6.40489199328551e-30,2.07257437627284e-28,"UP"
"SLC6A4",119.807640737486,1.49194720508976,0.192038398272761,7.769004628807,7.91052777816222e-15,1.18854569728667e-13,"UP"
"CCL8",233.548034293266,1.42342783644565,0.129616279038084,10.9818600488246,4.67203535638646e-28,1.4050602638404e-26,"UP"
"ABI3",720.428792804073,1.15843746993884,0.0543072897946034,21.3311596715688,5.83434441878174e-101,2.32579312830414e-98,"UP"
"IL2",3.85903699371967,1.27682078573455,0.134183143155894,9.51550810112663,1.80827031598961e-21,4.28857628359256e-20,"UP"
"CRTAM",109.904908665475,1.80480113453006,0.0798202585551227,22.6108154395879,3.39214295795307e-113,2.88887229364585e-110,"UP"
"LPXN",1181.52287108889,1.1606117230705,0.0480196234892081,24.1695298450504,4.65434810430351e-129,1.09004832602788e-125,"UP"
"MS4A6A",2704.08961967473,1.47168832045695,0.0735655719796501,20.0051230603366,4.96958283852534e-89,1.04618094452372e-86,"UP"
"MS4A4A",1134.71318800016,1.31162310501186,0.0818883573749792,16.0172110792959,9.6899981787416e-58,7.29123718381135e-56,"UP"
"APOA4",0.999725728378327,1.840554954378,0.540198504428185,3.40718261766806,0.00065637195232865,0.00162218505458773,"UP"
"IL10RA",2044.85477530673,1.39675175599478,0.0590546576432975,23.6518474873133,1.1297647164521e-123,1.62825167134204e-120,"UP"
"SLC15A3",2173.33047121106,1.12212586872449,0.0675217844072546,16.6187235508534,5.10070926814546e-62,4.40400409437665e-60,"UP"
"CD5",547.626360532834,1.41472137742868,0.0814479882804144,17.3696294690298,1.40127873712274e-67,1.42686730536585e-65,"UP"
"C11orf21",100.429289941057,1.42703238736415,0.0977682826246832,14.5960668332725,2.97521860974281e-48,1.66897293030363e-46,"UP"
"CD69",563.724574912105,1.51813841384363,0.0938785447583073,16.1713032275065,8.03798785261303e-59,6.32772018514949e-57,"UP"
"SELPLG",1868.08130013181,1.25129600551556,0.0626056472605003,19.9869510223087,7.15355144038224e-89,1.4892104420778e-86,"UP"
"BIN2",711.180438427575,1.29703860837944,0.0625130001941727,20.7483020227902,1.26997862388717e-95,3.55139096972389e-93,"UP"
"MYL2",1.86835970567647,1.17545593669038,0.175472901717299,6.69878895935817,2.10153831456336e-11,2.0877212015726e-10,"UP"
"CUX2",10.4300804249824,1.25734322416246,0.117248345805707,10.7237608814201,7.87352753469563e-27,2.27651870200706e-25,"UP"
"KCNA1",6.70016829330192,1.24263339050936,0.239579567971079,5.18672523301054,2.14024140106218e-07,1.0926311414251e-06,"UP"
"ART4",53.9065518726933,1.02318253192565,0.122553525185546,8.34886251029129,6.89235124910194e-17,1.25373876702111e-15,"UP"
"IL26",5.34023929223432,1.54953932849761,0.150255758233047,10.3126785070977,6.17557214252268e-25,1.68666938283243e-23,"UP"
"IFNG",45.3551182569229,2.24227104189882,0.139011391849424,16.1301243881338,1.56704521690153e-58,1.20823700345132e-56,"UP"
"CLEC4A",11.5879589137741,1.53141334391635,0.105298337429465,14.5435662262206,6.41610951674609e-48,3.54608341904881e-46,"UP"
"AICDA",11.0163412989601,1.38777622031592,0.158448386780202,8.75853802311681,1.9779900181014e-18,4.02384592607469e-17,"UP"
"NA.5",NA,NA,NA,NA,NA,NA,NA
"KLRB1",187.910617584895,1.47371668469758,0.0816824504731636,18.0420234231558,9.11447080427632e-73,1.05412793203038e-70,"UP"
"IL17A",3.30723322742963,1.5365299986787,0.25661430224473,5.98770210872083,2.12826397898981e-09,1.53012869955307e-08,"UP"
"IL17F",0.695483348477098,1.39246182894906,0.255405698312598,5.45196069683923,4.9817468042512e-08,2.85350070695355e-07,"UP"
"CCR6",5.39480220329094,1.42690745981606,0.12001098994326,11.8898065959684,1.33715859305168e-32,4.69157367030266e-31,"UP"
"LY86",481.064048741358,1.36909077015388,0.0798888661034435,17.1374415100738,7.80084434499752e-66,7.69245366567755e-64,"UP"
"C7",4334.87762494861,1.18942318943599,0.143909141599547,8.26509821555168,1.39579778186228e-16,2.4694681058519e-15,"UP"
"GZMK",93.678932968525,2.06740248643739,0.0974904320813061,21.2062090843253,8.3692192676363e-100,3.01549408073911e-97,"UP"
"ITK",464.826231606572,1.6678190596563,0.0795668577778682,20.9612281574881,1.48213277782388e-97,4.62820662088469e-95,"UP"
"CDX1",19.6918031091278,1.05351005037253,0.106792944006739,9.8649780673342,5.90473523536438e-23,1.4909854362505e-21,"UP"
"CD86",963.117211076133,1.28716519525722,0.065587927807329,19.6250322016331,9.45171757467487e-86,1.75334040078325e-83,"UP"
"ZAP70",503.811826098591,1.59927607115212,0.0874139554468824,18.2954319247563,8.99850995642424e-75,1.12397388362376e-72,"UP"
"CYTIP",1045.12902338533,1.26831324196468,0.069750938035044,18.1834578529604,6.97911132921505e-74,8.27598923190969e-72,"UP"
"GNLY",720.242356928234,1.25924585629658,0.123888610903336,10.1643391358961,2.86055285091126e-24,7.66742749852265e-23,"UP"
"IL18RAP",79.019755992178,1.38983332224174,0.0913878971727261,15.2080676461447,3.12635806317726e-52,1.99916193418735e-50,"UP"
"WIPF1",3324.24336267083,1.09045348477924,0.0512765620113708,21.2661192951552,2.33845103886782e-100,8.59082718906423e-98,"UP"
"PLEK",1977.62867055179,1.63870416873958,0.0665059858779201,24.6399500301766,4.71633907765033e-134,1.76730657917713e-130,"UP"
"TNR",25.4814032024772,1.2356505418171,0.154506550674394,7.99739905152044,1.27074881089782e-15,2.05247842422255e-14,"UP"
"PRG4",320.543565810898,1.10167817523088,0.166531012382184,6.61545353908351,3.70414312826767e-11,3.54447526308596e-10,"UP"
"NCF2",2086.27277875227,1.07361106306997,0.0751471451911277,14.2867844192799,2.64545427585625e-46,1.3922817784394e-44,"UP"
"AMPD1",56.0787763726892,1.02519198584146,0.138561235943461,7.39883690312765,1.37382460373072e-13,1.80631422985956e-12,"UP"
"CD2",1036.19123547579,1.68334142275858,0.0706684056360862,23.8202830190779,2.05877585987268e-125,3.5066567736886e-122,"UP"
"SLAMF1",250.246578083829,1.51644354626819,0.0735801149198137,20.6094207371215,2.25919126835642e-94,5.87891772276749e-92,"UP"
"CD48",442.422488268802,1.80412544896209,0.0816260662762881,22.1023201443456,3.0023687591375e-108,1.93973727831725e-105,"UP"
"PLA2G2D",522.700036448303,2.23807703233893,0.135487530850069,16.5186937742307,2.69164577867651e-61,2.29230342314923e-59,"UP"
"GBP1",4067.68629994771,1.42299055059157,0.0886985385309702,16.042998838078,6.39884390147707e-58,4.83422336040622e-56,"UP"
"CR2",624.383718238163,1.28734034966146,0.157075753192095,8.19566561674938,2.49210232625135e-16,4.2994502011644e-15,"UP"
"FASLG",84.1384506205637,1.74259005610855,0.101781688451039,17.1208601726704,1.03731188778104e-65,1.01754322143799e-63,"UP"
"HSD11B1",360.991752719371,1.49314913222586,0.0927781904223964,16.0937514024354,2.82207253671508e-58,2.14936386373552e-56,"UP"
