"gene","HR","z","pvalue","lower","upper"
"VAX1",2.15258310761907,5.50122815183866,3.77154784329819e-08,1.63807501698996,2.82869464899198
"IGF2BP1",1.22182443031989,4.91558654382875,8.85170357262205e-07,1.12801864117643,1.32343108884229
"CIDEC",1.2961370652035,4.3033707047244,1.68219034670949e-05,1.15171288708887,1.45867195776608
"INSL4",1.14725402873793,4.23708631760879,2.26439100690576e-05,1.07662049631239,1.22252159508722
"HOXA13",1.41213601692175,3.79451830891871,0.000147930366206785,1.18157566771517,1.68768550739006
"CD200R1",0.640497593755677,-3.7705268082433,0.000162903301023101,0.508092793073319,0.807405995911488
"SPX",1.25034904303185,3.75201957215805,0.000175415765886962,1.11261391468567,1.40513497878763
"STAP1",0.715625232391523,-3.72553307391972,0.000194902894130343,0.600118869906299,0.853363390015354
"CDX2",1.27607257112003,3.71980069424898,0.000199380049628452,1.12224999173754,1.45097903208157
"CLEC17A",0.615730106939589,-3.69615924594696,0.00021888570672371,0.476113327989814,0.79628849331424
"F2",1.22688543830224,3.60865193988629,0.000307792229625068,1.09792321040695,1.37099558917254
"CCR2",0.771388647035109,-3.54741254804291,0.000389034883087798,0.66833025203842,0.890338934919931
"GUCA2B",1.187043287363,3.50654413386683,0.000453966146787085,1.0785589207624,1.30643930428717
"ELAPOR1",0.874475596391229,-3.50553146005394,0.000455696642772707,0.811294394885453,0.942577162500631
"UPK1B",1.11828677065219,3.50528275028839,0.000456122588137065,1.05052133884248,1.19042351180952
"MS4A1",0.84162540123548,-3.47358565197912,0.000513553422386575,0.763602394805877,0.927620605727481
"NTS",1.10354513016525,3.45880940200443,0.000542568703873393,1.04362079114084,1.16691030367474
"UGT2B28",1.50975556969716,3.42104370930626,0.000623813056231161,1.19236306206018,1.91163409263391
"CPS1",1.08078001826461,3.35820983407133,0.000784490366196095,1.03287337396716,1.13090866443149
"FCRL1",0.709208744474686,-3.32508841825158,0.0008839049879674,0.579179638352573,0.868430120696292
"IL16",0.741021953604841,-3.29043272009516,0.00100033420398289,0.619862341770111,0.885863680888015
"MAGEA8",1.19161261564359,3.28747020298553,0.00101091886564346,1.0733563914321,1.32289762943176
"MAPK4",1.1994918663599,3.22374468056146,0.00126526154716289,1.07391208095597,1.33975654336879
"ICAM3",0.721136232635481,-3.17508905920729,0.00149790520353455,0.589348568840986,0.882393703003982
"TLR10",0.772658225769763,-3.16954666569804,0.0015267693917784,0.65875180436268,0.906260491274487
"INHA",1.104715349425,3.15974407787362,0.001579077755153,1.03853830214825,1.1751092865143
"JCHAIN",0.877228112846958,-3.12641121991507,0.00176953924119118,0.808070937999838,0.952303969591825
"CLVS2",2.10654891806271,3.11951554275439,0.00181148703515647,1.31908994747982,3.36409837150932
"PPP2R2C",1.14983641844001,3.11115560248134,0.00186356712348433,1.05301992858255,1.25555438532929
"ANO3",1.2647842780582,3.04462698886919,0.00232969054507163,1.08728614470469,1.47125876459842
"P2RY13",0.812374212237757,-3.03350351864727,0.00241731892243471,0.710311829092698,0.929101605349712
"ZNF831",0.621731924686389,-3.02067095564669,0.00252215283274421,0.456754118463859,0.846299071093824
"AMPD1",0.69619251390961,-3.01739450583443,0.00254957765988612,0.550266907958358,0.880816217391837
"FCRLA",0.822780983239381,-2.97056580666704,0.00297251712971462,0.723417862052312,0.935791859575912
"ADAMTS8",0.822997376918192,-2.96838696537119,0.00299367186326567,0.723665407793419,0.935963879328576
"CD19",0.825241750119164,-2.96223947735058,0.00305410142958212,0.726753591121313,0.937076822818286
"MUSK",0.455121515056726,-2.9613375264202,0.00306306056262345,0.270307843250945,0.766295165454123
"PIK3CG",0.77766369935277,-2.9289534363962,0.00340105367286643,0.657223577312514,0.920175188729524
"NWD2",2.68962612332229,2.92873953491587,0.00340339484877991,1.38718547003677,5.21493977518804
"S100P",1.07447695242478,2.92463898438555,0.00344856043616646,1.0239769524637,1.12746748695301
"NRG4",1.29388979701238,2.89096244451566,0.00384064013343875,1.08651350405877,1.54084675483442
"XIRP1",1.37014970325588,2.8884752162278,0.00387114533813345,1.10653357284066,1.69656868567737
"BTK",0.810856993426011,-2.87929460053234,0.00398565827594169,0.703010382303027,0.935248013882767
"RUBCNL",0.638523250443746,-2.86898824777639,0.00411787098730732,0.469983047963243,0.867503504911807
"KLHL6",0.791875425446319,-2.86644742664144,0.00415107100413596,0.675091153646534,0.928862252213884
"CD79A",0.879938124654719,-2.85805698394106,0.00426243838402808,0.806044811401272,0.960605529951609
"CASS4",0.78068473417952,-2.85776160940721,0.00426640784399407,0.658766239215617,0.925166801059255
"CTCFL",1.25687781990009,2.85457502608587,0.00430944515807585,1.07428126399357,1.47051047719497
"IRF4",0.825872925482899,-2.85073508931204,0.00436182929283765,0.724083476245317,0.941971625402207
"HPGDS",0.823873310700763,-2.84520853988253,0.00443823557310487,0.720940875764168,0.94150193851274
"BTLA",0.716628802181982,-2.82504487542581,0.00472739946250436,0.568722076824355,0.903001415004661
"COL6A6",0.800496958848299,-2.76932367138894,0.00561728006150161,0.683853968152533,0.937035406632966
"CPLX2",1.08888591079357,2.76712617744984,0.00565528622118014,1.02515054288919,1.15658381585904
"BLK",0.779198139021403,-2.76243988234638,0.00573711260387462,0.65278714107547,0.930088388159937
"TNFRSF13B",0.744982698477943,-2.76086680532298,0.00576481817738309,0.604479565050544,0.918143892895818
"GPR174",0.773812148133299,-2.75066634096788,0.0059474187412451,0.644590267549663,0.928939313457036
"L1CAM",1.16296751252219,2.7425909298196,0.00609565703337993,1.04402378785211,1.2954622786561
"NEFL",1.1572056706088,2.73932298560624,0.00615658579921889,1.0424153613319,1.28463663695261
"CCR4",0.827472642436944,-2.73866293450274,0.006168958404899,0.722591490380189,0.947576857874871
"CNR2",0.661347233257538,-2.73449487385412,0.0062476068161724,0.491724042935512,0.889482971640583
"FDCSP",0.907169170484443,-2.72266286283602,0.00647581056331441,0.845725326143753,0.973077048111894
"P2RY12",0.792391712949583,-2.71859378352164,0.00655600674209686,0.670009397930568,0.937128089084268
"FCER2",0.784706965818739,-2.71537739125599,0.00662002841424058,0.658729646081659,0.934776544318636
"GABRA2",1.39901165478512,2.70532737392067,0.00682371041818225,1.09692324634923,1.78429403947693
"PGC",0.948868367405691,-2.6952917486015,0.00703270237336559,0.913336030097413,0.98578305135637
"LILRA4",0.709338722284188,-2.69258612801229,0.00709002203169777,0.55244412794186,0.910791512630066
"LAX1",0.82574674407354,-2.6866088152641,0.00721814327394406,0.718098628316937,0.949532081611373
"NIBAN3",0.699939186671266,-2.65487536272057,0.00793377163518731,0.537868300995558,0.910845394925178
"IAPP",1.78645430295195,2.65486485278876,0.00793401881522732,1.16401327434519,2.74173761319933
"RAB3B",1.16508760745445,2.64886072341344,0.00807636077436947,1.04053828803052,1.30454510771843
"KLHL4",1.31525614253989,2.64606878340279,0.00814332561843618,1.07363940738843,1.61124741564471
"TM4SF20",1.14604062082657,2.62926714956372,0.00855691100032257,1.03530875238201,1.26861586127104
"CD22",0.829249109911801,-2.62896731027442,0.00856445933218879,0.721211365806888,0.953470950253496
"ESX1",1.47892260990927,2.62178702572618,0.00874700729720684,1.10382360182395,1.98148697172875
"CD79B",0.831540109176992,-2.6192783397098,0.00881160176769129,0.724324352633375,0.954626129380016
"COL6A5",0.762227760917736,-2.61889258615523,0.00882157199176503,0.622067745530802,0.93396766459562
"PDX1",1.15535726450559,2.61822433217834,0.00883886760433195,1.03697385293217,1.28725560906999
"FCRL3",0.778208367620857,-2.61251017123964,0.00898800178023962,0.644753315643749,0.939286776416892
"CLEC10A",0.853489464213563,-2.60921164310279,0.00907510950556358,0.757733039581644,0.961346843112108
"CCR6",0.134387238015178,-2.60785396929218,0.00911118145262526,0.0297348006601435,0.607366766899354
"APOC3",1.24771626658631,2.60712062315395,0.00913071887239116,1.05647325112874,1.47357813389102
"GPR31",0.314107143186612,-2.60498050476989,0.00918794876773736,0.131426719212787,0.750709581672762
"SMOC1",1.09380260094622,2.6033896244529,0.00923069846578663,1.02240680264411,1.17018404684185
"NEUROD1",0.749165469172997,-2.58180457098694,0.00982852237521402,0.60167792913529,0.932806195846014
"CTSG",0.839413790277666,-2.57040882061754,0.0101578562591997,0.734525824834011,0.959279425563488
"RSPO1",0.675080519482376,-2.56386349038856,0.0103514248139597,0.499925410620775,0.911603407433708
"GAPT",0.79401199787086,-2.56191993008444,0.0104095314190942,0.665565873406147,0.947246663258759
"HAL",1.13307589861886,2.54393322042234,0.0109612038142646,1.02909472868495,1.24756347131575
"CR2",0.875713605628869,-2.54217291077963,0.011016565895873,0.790541071375646,0.970062589852607
"TLR7",0.816257742835656,-2.54102262925264,0.0110528765548376,0.697938539107385,0.954635208411448
"SIGLEC6",0.75933622638761,-2.53856964469937,0.0111306646617735,0.613932175717679,0.939177856300735
"ALX1",1.19814720591536,2.53748587908939,0.0111651872342664,1.04200213969889,1.37769076698597
"ADH1B",0.899894333221742,-2.53687922973018,0.0111845531003427,0.829469468686428,0.976298515540352
"HLA-DQA1",0.883843153264422,-2.51307990839544,0.0119682222560877,0.802699413003259,0.973189598643976
"GIMAP5",0.649041214647543,-2.50526279449481,0.0122360442063435,0.46281307094273,0.91020441028833
"SPIB",0.833996468933048,-2.4900289009431,0.0127732708018801,0.722953879550938,0.962094719824774
"ART4",0.69067165160595,-2.47671745557734,0.0132596823746023,0.51532160615468,0.925688588708051
"LHX2",1.21530667043274,2.47458501169041,0.0133391070481193,1.04138541879027,1.41827442227301
"PTPRC",0.860637251200886,-2.473163044608,0.0133923028343191,0.764127039388872,0.96933682486489
"IRF8",0.846763599649471,-2.45766336760552,0.0139844189785903,0.741571758740774,0.96687688715229
"NAIP",0.529116750248845,-2.44882233452964,0.014332412464424,0.317899925759958,0.880668766199386
"ITK",0.80565889950997,-2.44817131727939,0.0143583366547512,0.677668775662254,0.957822295597572
"TAGAP",0.824075956744554,-2.41090631531985,0.0159129353781152,0.704128944313538,0.964455712222587
"CD69",0.857893603001194,-2.40961457169517,0.0159693811005021,0.757336061920583,0.971802969746272
"ANGPTL7",0.537272815613667,-2.40930145683084,0.0159830898572544,0.32412214143004,0.890596603872383
"FLT3",0.694382478887642,-2.40591417338314,0.0161320541723171,0.515891176832349,0.934629333935747
"HOXD12",1.61989236190904,2.39614850566762,0.0165683759765889,1.09177703533838,2.40346808848014
"CD48",0.844237570017969,-2.39580353312498,0.0165839767884521,0.735032838410692,0.969666982730927
"FGA",1.0523712043535,2.38978112580727,0.0168584162148153,1.00922320104861,1.09736394347823
"FMO2",0.86696988892018,-2.37165840171918,0.0177084542797405,0.770495071756671,0.975524459333133
"FCER1A",0.905282609606528,-2.3706048596611,0.0177590056175799,0.833785399406186,0.982910715202823
"CPA3",0.906444782491198,-2.36701902431604,0.0179320110242942,0.835638984120056,0.983250134710648
"SASH3",0.852053444482223,-2.35689860401876,0.018428277951363,0.745837178188694,0.973396196227625
"ABCD2",0.67908664005933,-2.35359820269933,0.0185926960461849,0.491994811401266,0.937324244118815
"FGF5",1.1991280147083,2.35016294737263,0.0187651941576946,1.03060938852302,1.39520172401975
"TNFSF8",0.806118344692179,-2.34150843940948,0.0192059917369356,0.673053752558686,0.96549017545608
"MAS1L",0.360430706406238,-2.33925919776345,0.0193220230127894,0.153285807485639,0.847503733394696
"TMEM273",0.824394937364491,-2.31550018708673,0.0205855743319164,0.700080101553398,0.970784644848765
"CD27",0.859029257600272,-2.30071376647269,0.0214078154416045,0.754726739046329,0.977746285159743
"SIT1",0.849692390801921,-2.29115215552199,0.0219546150227111,0.739177503456822,0.976730427549948
"GLP2R",1.26351083793418,2.2896596614012,0.0220410535362267,1.03425276942984,1.54358749114804
"HEMGN",0.177701156643833,-2.28539430685875,0.0222897175366415,0.040385121210412,0.781914232918403
"MUCL1",1.20756740038913,2.28528038698704,0.0222963922120588,1.02721257312012,1.41958837405317
"IGSF6",0.860696913374069,-2.28283057818221,0.0224403500176259,0.756684413301214,0.979006787598198
"KLK13",0.892658255248175,-2.26795275987113,0.0233320861110275,0.809221503665859,0.984697956063887
"OR6K3",0.100834165152932,-2.24553848946454,0.0247335842194735,0.0136122771155174,0.746938133554325
"FOXL3",1.46990292180617,2.24156704068571,0.0249893681411437,1.04958133643442,2.05854898951826
"THEMIS",0.809810772532012,-2.23983879507307,0.0251013902711205,0.673309681533877,0.973984936344478
