	TCGA-55-6971-11A	TCGA-91-6847-11A	TCGA-55-6970-11A	TCGA-55-6983-11A	TCGA-44-6778-11A	TCGA-49-4490-11A	TCGA-55-6982-11A	TCGA-50-5930-11A	TCGA-55-6978-11A	TCGA-49-6761-11A	TCGA-55-6979-11A	TCGA-44-6145-11A	TCGA-38-4625-11A	TCGA-50-5931-11A	TCGA-73-4676-11A	TCGA-50-5939-11A	TCGA-44-6777-11A	TCGA-44-3396-11A	TCGA-50-5935-11A	TCGA-49-6744-11A	TCGA-38-4626-11A	TCGA-49-6742-11A	TCGA-44-6144-11A	TCGA-55-6986-11A	TCGA-91-6836-11A	TCGA-44-6146-11A	TCGA-91-6829-11A	TCGA-55-6981-11A	TCGA-91-6835-11A	TCGA-50-6595-11A	TCGA-55-6968-11A	TCGA-44-6148-11A	TCGA-49-4512-11A	TCGA-44-2668-11A	TCGA-55-6984-11A	TCGA-49-6745-11A	TCGA-55-6969-11A	TCGA-38-4627-11A	TCGA-91-6831-11A	TCGA-44-2665-11A	TCGA-50-5933-11A	TCGA-91-6849-11A	TCGA-55-6972-11A	TCGA-44-2662-11A	TCGA-50-5936-11A	TCGA-50-5932-11A	TCGA-44-2661-11A	TCGA-44-2657-11A	TCGA-38-4632-11A	TCGA-44-6147-11A	TCGA-91-6828-11A	TCGA-49-6743-11A	TCGA-55-6975-11A	TCGA-44-6776-11A	TCGA-44-5645-11A	TCGA-55-6985-11A	TCGA-55-6980-11A	TCGA-44-2655-11A
TSPAN6	15.2087	32.8511	21.5216	24.6353	21.6142	29.3682	26.9996	10.3778	40.4801	20.3353	15.2838	16.075	19.7106	12.989	18.393	18.6401	15.8652	27.3815	31.0999	34.0823	23.2615	30.399	13.0267	66.6818	18.2833	15.3232	13.502	28.4311	56.9023	19.8138	12.6914	47.8267	29.324	12.4196	23.1411	43.453	12.1888	19.4877	13.4053	20.588	21.6941	35.3706	16.2517	15.9724	16.8907	18.5908	23.2713	15.0703	18.0319	15.2206	32.849	28.725	15.658	30.613	22.2946	33.2941	19.5642	27.6855
TNMD	0.0662	0	0	0.0844	0.1938	0.1184	0.0873	0	0.2488	0	0	0.1273	0.274	0.0692	0.0687	0.4146	0.1415	0.0322	0.5627	0.1548	0.0302	0.2214	0	0.0909	0	0.0859	0.1064	0	0.2787	0.0394	0.0712	0.1875	0.1194	0.0775	0.1729	0.1835	0.073	0.0487	0	0.0725	0	0.0834	0.0872	0.3068	0	0.0919	0.4101	0.0526	0.0725	0.0551	0.139	7.3736	0.1887	0.1568	0.1588	0	0	0.2385
DPM1	65.6557	66.812	80.8797	75.8609	95.2925	121.4483	75.4058	61.602	88.1325	61.269	65.4991	77.2263	73.8507	79.6076	77.521	70.0511	56.5074	65.4794	69.693	79.7094	102.1729	66.4606	69.7105	76.7356	68.3401	75.8701	51.3271	73.193	75.0582	75.2805	61.7081	66.0468	95.3768	60.5576	66.5358	117.6686	67.3258	101.4818	108.8633	61.232	87.5509	80.6319	65.978	52.5223	67.5265	69.5289	64.6354	60.4926	96.5034	83.3412	79.609	87.81	76.1511	87.1473	71.7415	74.294	67.8133	63.5433
SCYL3	9.0148	7.4712	6.8832	5.8099	6.7341	5.2576	8.8966	5.5428	6.527	5.5839	5.9687	4.191	3.9687	4.0797	3.3875	4.9492	4.082	5.9206	6.2227	6.9225	4.0168	4.9015	6.0924	7.2157	6.5677	7.4262	4.6315	6.1483	7.5597	8.2349	6.0897	7.289	4.6231	3.4318	5.7411	6.2966	5.4803	3.6051	5.3564	4.463	3.542	6.7033	6.9158	3.2236	7.179	8.0955	5.9476	6.0424	4.1218	3.4262	5.2742	4.9357	7.0006	6.2709	7.6414	7.107	7.2185	5.8674
C1orf112	1.7022	1.1159	1.5036	1.1477	1.6774	1.4495	1.8787	1.2712	1.8249	1.1988	1.743	1.0545	1.2116	0.6157	1.2905	1.5888	0.9972	1.3684	1.0732	2.0288	1.2379	1.1631	1.4292	1.5139	1.1218	1.5509	1.9202	2.406	1.6536	1.412	1.6189	1.9242	0.8711	1.2933	1.317	1.3158	1.3178	1.4698	1.1122	1.4522	1.0989	1.1747	1.4654	0.7802	1.335	1.794	1.7111	1.8716	1.327	1.294	1.5631	1.6015	1.5163	1.3568	1.4923	1.847	1.8761	1.39
FGR	83.8172	49.7279	89.139	73.0813	115.4216	35.9775	83.8984	167.6023	77.0956	96.8307	123.1132	99.5484	166.6944	80.3723	101.1039	69.0303	90.3032	139.7078	63.6727	91.1872	227.1721	51.1579	130.5943	64.5096	102.6751	57.5673	234.3741	71.4239	32.2909	70.9057	115.4886	62.325	45.4548	209.3253	46.6767	43.2762	66.1881	80.2193	77.8077	60.8278	88.4167	67.0122	98.8664	84.963	112.2652	76.0057	72.604	67.773	79.1701	113.2997	77.5634	49.534	53.9432	72.6396	82.6808	113.203	62.67	47.8095
CFH	35.5225	29.9065	50.6206	29.7861	32.89	34.4714	52.9396	45.6365	41.2641	19.8795	27.9427	30.4853	30.7179	16.4811	19.576	40.7714	68.1921	60.3939	54.0742	55.7282	16.2964	53.1179	16.5723	39.5799	23.6526	63.7198	11.5319	26.9025	168.449	29.4531	33.477	74.7412	49.5964	39.7056	30.8118	46.548	34.885	59.6402	30.3043	43.5714	37.9496	57.4329	33.4527	38.4238	24.8748	57.6112	93.4392	20.5358	28.8575	40.0995	36.2518	67.1597	53.2101	26.1161	35.1095	28.6383	35.2876	35.0286
FUCA2	52.8392	54.2948	49.6586	48.8243	46.4015	56.591	54.2252	50.0064	44.9393	59.2205	51.5278	48.0142	44.387	41.7562	69.7617	46.7676	49.0779	51.3504	44.8178	53.1229	48.528	64.5518	60.1143	42.3498	58.341	49.4847	61.9919	54.0183	49.8857	44.9705	53.3821	40.24	59.0353	61.0035	54.51	47.8005	44.1869	62.4184	42.847	53.4222	44.8604	44.6022	46.9566	43.1178	45.262	53.5673	50.893	44.6803	74.4705	39.4497	40.627	52.1188	48.856	43.1786	56.2182	49.3213	43.8629	46.3543
GCLC	5.1703	8.164	9.0563	5.3485	6.7838	6.8566	10.8752	5.6169	13.8491	6.7972	11.1964	5.408	6.6939	5.6281	9.9045	6.2724	5.7811	11.2375	9.6645	10.2887	14.0723	7.2418	7.6253	16.4064	8.3799	6.4904	12.5278	7.76	13.3045	7.346	4.6809	16.477	8.786	7.1475	7.2571	7.8682	4.1394	7.2109	6.4475	6.4397	6.7482	11.2073	6.7028	4.0458	8.7053	7.6613	8.517	6.6176	9.2797	7.7753	8.2106	6.1137	3.9591	8.3115	6.3932	12.2618	5.6486	7.6041
NFYA	19.5378	17.9096	30.8502	17.9788	34.4098	17.2941	26.2501	16.0388	20.493	20.9349	24.0778	22.4862	15.2905	18.568	15.4282	24.7287	16.0331	20.651	20.8586	22.5167	19.2873	16.3977	18.0771	21.9434	19.3598	24.0292	15.6586	25.7345	22.0721	22.5153	16.4566	23.3512	12.6056	21.8958	17.1477	15.1391	19.2586	17.986	26.2258	17.0058	30.1479	22.89	24.2045	21.9135	24.398	24.5466	24.9385	20.6452	15.5629	26.118	30.8103	21.0048	23.8989	21.4066	21.9218	21.6436	21.4021	25.2718
STPG1	4.0757	10.4637	4.9367	6.5428	4.6055	3.4508	7.2857	3.7475	11.0604	4.0019	3.0328	5.8072	5.1205	4.3551	3.1802	4.9612	4.602	7.5003	7.6671	5.3835	6.6015	7.2273	4.3618	14.1471	4.8787	4.5006	4.4468	6.3514	15.0666	6.0928	4.2337	12.2122	2.9828	3.8371	7.3963	6.5773	3.5203	4.5888	5.2352	4.5148	7.3226	9.6713	5.3813	3.6863	5.556	6.1169	6.3035	3.4097	2.2642	3.8696	12.5671	3.9916	3.6162	7.0428	6.6389	4.8902	6.2933	5.9978
NIPAL3	28.3077	33.7085	32.3236	26.6231	23.6399	15.136	31.2686	21.939	27.8801	24.4721	20.7688	21.3009	14.9283	24.9083	13.3352	26.7573	23.9888	28.2369	33.9545	38.2092	13.016	23.4389	29.1736	28.3483	22.9273	35.4886	17.8833	26.2672	27.3497	30.3725	18.2354	32.9356	12.2708	16.0696	28.1843	20.5833	22.6768	13.0209	22.9851	22.4241	19.0307	32.7629	30.9033	22.9534	29.4951	33.6775	29.9987	24.8154	13.7526	17.4133	27.6563	24.2379	29.9545	29.9884	28.9866	20.7327	29.0985	28.8023
LAS1L	9.643	10.0908	8.4707	8.2258	9.0472	7.5192	11.4284	8.1686	10.7153	8.4131	7.8361	8.0904	7.4111	8.8651	6.3464	8.8223	8.3608	9.0566	9.3083	9.9565	6.2127	7.8923	9.7671	12.4378	9.2105	9.9509	7.0983	10.9485	11.8599	9.6774	8.9614	11.5416	6.2415	8.628	8.0435	7.8028	8.464	6.0152	8.8514	9.6122	8.8688	10.7211	10.329	8.9755	8.9209	10.3018	9.7517	9.7524	5.3977	9.3465	9.7525	9.3086	8.9071	10.839	10.6941	8.2532	10.7398	10.6474
ENPP4	60.7665	51.8427	51.9754	55.3676	50.9922	61.8314	58.351	38.5361	60.7314	39.7248	37.0153	52.0403	63.1937	52.5946	50.4685	64.4371	45.2517	60.3111	61.5963	76.3474	66.4841	52.8934	42.2365	57.7316	51.7957	55.2789	46.3778	47.292	41.7618	57.3329	41.0118	63.1502	50.8875	52.4887	57.6177	66.6287	35.3215	44.9765	73.2563	37.6256	70.7847	52.5109	39.7812	29.8786	68.0281	74.6775	36.9873	27.7856	35.3865	48.7675	62.0724	54.2303	53.6785	45.9479	43.1315	55.4839	43.7224	43.8385
SEMA3F	15.5703	24.629	33.4813	11.7452	66.519	20.9743	38.5733	17.9357	27.166	39.737	15.0374	20.0934	19.3082	39.0797	19.6824	50.4256	30.17	47.4568	48.5545	44.867	18.4504	19.415	34.6816	47.1359	18.9424	34.5867	11.8446	85.0645	24.5681	55.0142	15.5205	26.1257	8.8037	20.609	15.255	22.3199	24.342	32.9669	29.7615	47.2183	20.4272	36.6359	59.6341	44.0459	33.2488	34.3013	50.6918	27.6703	12.9996	42.9516	21.5467	27.7576	18.5839	27.8862	62.6703	23.0613	29.3087	63.8718
CFTR	32.9843	10.0509	31.1503	26.8401	13.2189	6.6468	10.555	8.7063	12.485	36.3251	19.8185	8.3549	15.5139	12.2734	11.7158	14.5059	12.775	18.4357	8.2581	22.1354	7.9217	13.853	27.0145	7.3403	46.8504	9.7213	6.1208	10.1909	6.4025	10.6304	18.8611	10.9765	8.1302	14.8477	11.1999	12.905	24.7268	10.1934	18.1551	13.8072	28.4184	6.0764	10.6886	15.3685	24.7329	8.9729	8.7375	24.1472	26.8023	9.6436	19.0409	11.878	37.0783	17.6101	15.5721	21.5785	12.3637	4.7248
ANKIB1	22.64	20.3566	30.7094	22.3055	27.6473	16.1478	32.5736	15.7534	23.5248	17.4877	19.2771	18.4901	12.3068	19.9551	12.8826	25.5775	16.9486	21.6365	26.9757	31.5927	12.6531	17.567	20.33	22.0056	22.6441	29.6619	15.9717	27.4657	23.5057	23.8626	14.8002	24.6869	14.0171	16.0534	23.3196	17.1806	18.9762	15.3799	28.8736	17.6579	24.8117	21.7967	22.8088	15.916	28.1012	29.3389	23.3388	15.5206	14.0253	16.5083	23.4964	21.3368	25.953	25.8558	20.3179	20.9143	21.7272	21.7739
CYP51A1	4.541	2.7488	4.6988	5.1892	3.5673	2.9971	5.991	4.0395	5.5847	3.6052	2.8338	4.4732	2.9791	4.5138	4.51	8.7282	6.0082	5.545	6.7912	4.5006	3.3432	5.2545	4.8611	2.7133	3.5425	6.2178	2.1137	2.3633	3.8172	4.5466	5.7155	5.3336	2.273	5.7696	3.6023	5.1938	3.6342	3.5259	6.7833	3.0633	9.8977	4.2535	3.3904	4.6376	8.371	5.7242	2.6803	2.3746	2.1236	7.2817	7.6715	4.6981	8.8791	5.6727	4.0748	2.6498	5.005	3.3206
KRIT1	3.7643	3.73	3.9388	2.9518	3.0745	2.5925	4.4676	2.1986	4.4	2.4566	2.2436	2.499	1.7018	2.5511	1.8791	2.8276	1.8856	2.1742	2.8495	2.9468	1.9806	1.8302	2.5457	3.6061	2.8067	3.5368	2.3161	4.8296	3.6134	3.9168	2.523	3.3128	2.1738	1.8253	3.0531	2.5469	2.7447	1.8433	3.8022	2.5016	3.058	4.2639	3.5668	2.0332	2.7234	2.7316	2.5004	2.3263	1.484	2.3987	3.3224	2.1969	3.5018	3.8423	3.7539	2.7357	3.9117	2.74
RAD52	6.3364	4.8275	7.531	4.9798	7.2858	2.31	9.9629	3.4391	5.2194	3.6201	4.5317	3.4848	2.4944	2.9933	2.1387	3.9864	2.0876	3.5651	4.4528	5.7601	2.096	3.6463	4.9989	7.8796	6.0482	7.0699	4.5511	11.0099	8.7235	6.4292	4.1759	6.0548	1.9771	2.4513	5.771	2.767	6.534	2.2841	3.9191	4.1002	2.52	6.0112	8.7996	2.1836	5.6164	5.299	5.5958	4.2561	2.9243	3.3229	3.3932	3.9755	3.9896	7.7607	6.5256	5.5817	10.3321	5.5285
BAD	15.9044	20.5964	12.7012	15.171	15.2438	27.2264	17.8128	18.674	22.2893	22.2694	15.0332	15.2939	23.5163	17.8156	24.3938	17.3172	20.486	20.9395	22.0202	12.4431	19.8884	20.7091	21.3631	21.2455	15.6188	17.0797	14.2971	19.4416	20.2895	20.7281	19.3128	16.1251	26.1654	19.7565	22.9865	35.101	17.8573	36.7206	10.4348	25.8812	11.7304	19.954	20.1866	26.3222	17.8558	17.701	21.9299	21.1244	19.9324	12.2361	17.1715	18.342	20.3841	12.9403	29.0552	13.1966	18.4121	29.6222
LAP3	103.9878	76.0521	211.7691	138.1373	158.919	115.6549	190.4281	83.8879	144.3392	139.3928	185.3411	118.4914	109.739	102.6235	129.3619	114.8997	123.6817	138.5608	150.0853	108.4968	106.7559	95.4578	188.6073	110.459	119.7289	144.3278	92.5222	126.6183	123.5889	143.9606	110.1587	104.8147	113.5313	148.7629	113.291	157.9417	92.655	173.0764	158.574	108.0804	138.7291	119.1693	153.9743	127.1717	113.3388	138.5128	118.6717	130.954	227.5806	152.9073	116.9894	113.8344	93.4192	140.3585	156.138	108.6902	118.596	131.4792
CD99	81.422	88.5085	112.5118	91.9583	139.7788	108.337	123.2904	140.5141	127.7286	89.5082	98.3652	103.5576	104.2655	109.4255	203.4568	146.9421	122.0135	135.2731	120.8187	130.8683	111.2196	111.9894	132.7866	95.9719	96.5466	157.6437	78.2931	113.4352	121.7773	102.3749	105.8735	144.3685	91.685	189.5336	84.6004	152.1435	121.463	161.4837	112.7949	126.2464	140.4062	121.3407	139.8275	155.5287	121.4664	167.3067	152.6313	103.2117	128.3468	156.8146	117.8528	127.2584	121.9206	86.0851	132.9928	77.8741	134.523	118.0818
HS3ST1	2.7468	3.3954	2.4315	4.0716	6.0289	5.6902	3.6932	1.0759	8.1333	2.4242	1.3087	2.515	3.9762	2.2386	4.0631	2.7161	2.5146	5.8644	7.3246	4.4107	6.2335	4.0762	3.4915	13.7993	2.5672	2.2518	1.7637	3.9676	5.2972	4.191	1.8792	10.6104	2.051	1.6462	3.3373	5.0033	1.638	4.8273	1.9976	2.6129	6.8919	7.5461	4.0663	1.4443	2.8442	2.2064	2.5138	4.2475	2.1743	2.2422	11.1445	2.4351	1.5734	4.7158	6.4329	4.4274	2.0473	4.2412
AOC1	0.7485	0.463	1.3502	2.8298	0.5794	0.1385	1.2939	0.3521	0.9053	2.0653	1.3564	0.8438	0.9138	0.2967	0.5355	0.431	3.3381	0.8907	1.0028	0.664	1.3876	1.4025	1.4385	0.4727	0.6191	0.469	3.3805	0.4487	3.4223	0.3532	1.9701	0.8225	1.7229	3.263	0.7417	0.6439	1.1671	1.2918	0.0462	0.9047	0.6322	0.6175	0.6796	0.6322	0.9824	0.573	1.2991	3.0332	1.7815	0.6229	1.0293	0.3493	0.5518	0.5807	1.5275	2.5841	1.0999	1.4612
WNT16	0.0299	0.179	0.0764	0.1527	0.1753	0.1071	0.1975	0.0628	0.225	0.2436	0	0.9788	0.0413	0.1564	0.2174	0	0.192	0.8149	0.0727	0.4201	0.0682	0.0501	0.0278	0.4798	0.0342	0.0389	0.0722	0.1893	0.8821	0.1781	0.2253	0.5088	0.054	0.1227	0.1877	0.5809	0.3302	0.0661	0.1606	0.0164	0.4889	0.3016	0.2365	0	0.0326	0.1246	0.0464	0.5468	0.0984	0.5232	1.0054	0.1247	0.0853	0.2127	0.1197	0.2318	0.088	0.3082
HECW1	0.0912	0.0671	0.0358	0.0089	0.0821	0.0565	0.0833	0.0147	0.0264	0.019	0.1746	0.0742	0.0806	0.022	0.0873	0.0732	0.1574	0.1466	0.0426	0.246	0.0351	0.1641	0.0326	0.0642	0.0881	0.1092	0.0451	0.0998	0.3173	0.0542	0.0226	0.0497	0.019	0.0493	0.0147	0.013	0.1856	0.1445	0.0251	0.0999	0.0254	0.1324	0.0739	0.0882	0.0991	0.0097	0.3638	0.039	0.0538	0.07	0.0442	0.2628	0.06	0.1744	0.1739	0.0931	0.0412	0.0577
MAD1L1	0.446	0.3233	0.7243	0.2929	0.3562	0.4111	0.6954	0.5107	0.6265	0.2933	0.5421	0.4419	0.6898	0.3813	1.1217	0.2539	0.3034	0.5978	0.4431	0.5373	0.7882	0.2486	0.5022	0.2414	0.4786	0.3158	0.3258	0.2991	0.4551	0.4824	0.4504	0.3063	0.2316	0.3876	0.2472	0.4121	0.1938	0.2288	0.4834	0.2591	0.4537	0.2382	0.3915	0.7784	0.5291	0.4313	0.3768	1.0947	0.7108	0.3937	0.2128	0.2814	0.5393	0.4641	0.3459	0.3364	0.4965	0.2087
LASP1	87.8614	85.8544	121.9928	82.2692	113.6463	56.252	142.9927	81.4237	102.1803	121.3998	103.0829	81.6146	84.8999	107.4905	61.1027	130.9824	115.5124	128.2753	130.6256	115.1204	92.8626	91.0824	97.6951	106.8632	84.2242	121.6083	85.0692	110.4164	98.3322	119.5861	96.4376	108.6561	57.1625	139.7473	86.9177	64.2553	81.0028	104.9897	82.7753	143.2932	94.1016	92.8053	104.6014	120.3158	142.8641	123.1912	173.4895	120.7348	81.5864	98.5145	89.1437	95.9814	87.5307	89.414	138.2401	94.693	99.6296	160.4659
SNX11	16.8098	19.5118	26.3954	21.9434	25.4986	48.242	25.2343	21.9853	23.576	22.1578	18.6052	19.5067	25.8286	21.6921	27.9618	18.9277	19.4086	23.4091	21.3004	22.6424	28.3305	17.907	24.5748	22.5181	20.4442	20.0703	21.5819	22.4963	18.4118	22.2943	24.1215	21.5486	28.8562	23.7879	24.4834	37.3131	14.5508	37.4505	18.9402	23.6832	17.7391	21.8806	24.7779	19.8776	20.6974	21.9125	29.0374	30.7329	34.4773	23.2961	20.7678	23.306	20.2174	21.1107	24.4496	17.4464	20.8812	24.2764
TMEM176A	25.349	18.3191	46.9017	33.6792	46.6297	28.1062	49.7942	21.8859	44.8174	37.392	50.9159	24.295	21.6824	20.3223	47.2319	31.9148	55.9338	48.9031	26.9229	22.6094	22.2156	18.0668	38.2436	29.0314	37.6879	39.6521	15.1303	50.1499	69.2351	36.0809	39.791	24.3006	29.1288	60.4173	15.4911	31.9923	25.9751	76.1451	34.1221	65.0762	38.7043	23.3195	38.7399	58.251	32.1206	34.3911	87.987	70.0497	60.3493	19.3652	17.4601	37.6786	36.3681	16.241	38.5476	31.4023	50.096	58.1182
M6PR	80.9245	61.191	99.95	87.0475	85.4753	67.9294	98.2784	66.3687	75.3592	60.6644	86.6259	64.2676	84.0667	68.786	67.3279	87.0563	87.2292	94.3166	83.5977	93.6413	96.7537	76.2197	85.5003	64.7882	92.3777	87.3166	103.904	71.9893	59.462	78.0797	82.166	79.9902	47.1838	122.9855	66.5204	77.269	70.1363	80.8732	71.306	82.8506	95.1563	60.3004	69.1885	62.1801	88.1235	88.5685	94.6868	81.142	131.2474	67.6419	67.9367	82.7903	75.1677	69.3011	81.8139	72.7633	69.0951	67.4781
KLHL13	0.7137	2.8452	1.0534	1.6413	1.6253	1.6148	3.5446	0.235	3.4709	0.5124	0.8128	1.238	1.3833	0.4533	0.6097	1.0662	1.8697	2.6254	2.6335	1.489	1.5238	4.3283	0.234	5.8245	1.2308	1.217	0.7646	1.7915	9.5278	1.7399	0.5416	5.599	2.8276	0.4505	2.1934	6.1935	0.7871	2.06	0.5004	1.2492	2.2725	3.753	0.8106	0.9542	0.7609	1.2814	1.5279	0.9889	0.6439	0.6289	3.8916	1.442	0.8177	1.276	2.0705	1.7029	1.0282	2.4559
CYP26B1	6.4299	6.1291	4.5495	2.4841	15.5181	3.9043	10.5909	1.0838	3.0023	2.167	2.4522	1.3678	6.3607	4.5202	0.9298	12.8533	17.8905	3.0685	7.0974	2.324	4.1103	1.1891	1.4479	19.6552	7.79	10.3694	1.7379	7.0833	6.7051	33.8604	11.4583	8.1274	0.9843	1.1176	4.8255	1.7824	3.7179	2.5099	6.4457	2.3477	0.8308	5.6919	21.985	3.7794	8.1578	7.4073	13.6099	14.0022	1.2168	0.7621	7.2796	2.9206	9.4694	1.6152	38.5537	7.3399	13.1715	68.0233
ICA1	15.7288	14.9352	16.2644	14.3125	18.379	9.6308	15.8142	8.9472	17.2475	13.272	15.5815	17.0686	9.2838	13.2161	12.0826	13.0545	10.802	11.6333	13.4123	20.8261	9.8743	16.428	12.008	14.2488	14.5839	12.0264	10.5164	17.5544	15.4785	15.358	14.5433	12.1309	8.5204	13.3759	15.4429	12.3703	16.4211	8.4107	15.0291	13.5464	15.2687	17.2348	18.759	9.1541	16.5609	14.5488	14.1638	12.8235	13.5276	12.4236	14.8688	17.4558	15.8002	17.5602	15.1566	13.9808	12.4983	13.4307
DBNDD1	6.5917	12.6774	4.1913	5.3885	4.168	4.349	10.2278	8.4583	4.6364	5.8513	4.8156	6.465	3.353	8.6961	3.6351	4.7316	7.8418	5.8119	8.0834	4.9679	3.5521	7.8539	5.0855	7.3905	4.2526	7.1064	4.8393	4.7075	12.1684	6.9052	3.9318	6.3121	3.1806	6.8832	7.9637	7.4264	5.3863	3.9493	3.916	13.949	4.2717	7.39	9.2553	6.4369	5.3108	6.3504	10.8535	6.3124	2.3993	5.3581	8.3427	5.0835	4.3696	6.4835	8.2145	4.2278	4.9883	9.6596
ALS2	11.4116	9.4613	11.7892	9.4764	11.7775	5.6443	13.0052	8.0076	10.1326	6.4627	8.7263	9.1371	5.4536	8.4326	5.7009	10.9927	7.4048	9.6057	10.5255	12.8297	5.6856	8.2565	9.8436	12.547	9.2392	14.0591	6.5972	12.1628	11.6152	11.0721	6.7129	11.1643	4.6362	8.4053	8.9216	6.6346	8.0847	5.8158	11.6677	7.7881	9.7078	11.4928	11.1298	8.3293	11.5752	11.6249	9.9607	7.4114	5.5283	9.5748	11.6912	9.4036	9.6997	12.7934	10.0029	9.2849	9.7676	10.9856
CASP10	18.9345	13.7669	23.3697	21.0175	30.8973	11.9454	23.5862	13.9204	17.116	15.3141	16.9528	12.5186	12.3211	16.3517	11.8075	23.9207	14.7007	19.2152	18.8743	22.1713	16.9427	13.9542	16.9656	15.5048	18.2866	19.9597	17.4936	32.4541	16.942	19.8458	15.9358	18.1193	8.8833	13.7759	15.2537	11.8386	18.1117	14.0036	23.8553	19.3568	27.8435	20.7416	24.2336	17.629	21.3621	21.2457	23.9654	14.3189	14.0796	14.4276	15.475	22.165	19.4356	18.7443	21.3394	16.4275	20.7791	21.8858
CFLAR	41.9435	44.2711	50.9932	34.7701	54.5271	15.6748	59.0127	39.3091	47.5837	31.436	39.3898	40.8728	17.5204	53.2018	24.0593	41.5293	24.1709	45.3642	39.0258	58.2776	24.1152	31.325	45.6154	47.9426	36.5509	48.5924	23.4102	46.8241	35.5903	48.9455	19.614	39.8934	10.2542	41.2583	31.27	22.6297	31.9455	17.7581	61.7573	29.6166	77.5548	58.7848	53.3517	39.6492	45.0082	47.2063	30.6225	21.8152	15.8499	71.4511	54.1506	24.0859	39.9411	66.4527	37.2384	35.1933	43.9691	31.2354
TFPI	84.4596	59.5238	88.851	95.1928	86.9938	66.8081	47.7961	42.1994	62.345	76.9339	32.5912	56.5356	62.2722	100.0101	71.8287	72.8243	66.74	73.9487	85.2515	111.8242	44.9465	51.9531	62.9105	65.8974	48.806	63.7967	25.0023	63.7488	34.3155	86.6999	66.9376	54.2305	50.9813	48.6099	40.2412	59.3428	42.6628	86.6061	100.8651	66.3732	93.8141	82.0636	79.3613	84.2592	79.004	68.3318	54.2229	57.118	42.7813	105.2008	101.0604	81.5002	74.0903	108.1896	90.6009	64.8499	46.6441	63.6111
NDUFAF7	9.4476	6.9464	11.5081	7.5749	9.5868	7.4698	9.7808	6.2922	8.4491	8.6393	7.9582	7.232	5.5868	5.1741	6.886	7.7102	5.6644	6.1013	6.7918	11.1728	8.2189	7.9205	9.0742	8.4071	7.9488	8.0944	7.9358	11.9717	10.1396	8.3913	8.3443	8.3207	6.1082	6.6577	6.6702	7.8395	9.6528	8.412	10.9596	7.0213	6.6289	8.4923	8.8094	6.343	7.9749	7.1668	7.4612	8.1184	8.6503	7.0606	9.2128	8.2464	8.3917	10.9346	8.4552	9.9636	9.1641	6.9151
RBM5	31.2569	22.2641	30.0225	21.3863	27.9107	7.0557	32.8981	14.6156	23.3903	15.2019	19.5724	17.3103	8.472	10.8845	5.814	15.195	9.3687	15.1564	13.9414	17.5195	13.0506	11.192	18.29	28.1415	20.6059	23.3661	20.3785	37.5643	26.5297	22.5026	18.3691	26.1045	5.9916	13.3637	18.4806	9.9295	26.733	6.5279	23.5517	14.4217	14.0807	24.5196	26.3465	13.6097	14.4873	17.8027	19.3392	16.2946	7.8146	20.0689	19.5651	14.2501	23.9077	25.1389	23.2561	24.5863	32.3881	17.3163
MTMR7	1.0296	1.1303	1.0258	1.0429	1.7208	0.7949	1.0607	0.7846	1.2192	0.6695	0.8778	1.0037	0.5318	0.8991	0.6731	0.9422	0.5427	0.6444	1.0104	1.204	0.8483	0.8607	0.8254	1.2206	0.8056	0.952	0.51	1.8058	1.1132	0.9314	0.652	1.0488	0.7379	0.6109	1.0317	1.0556	1.0423	0.4257	1.2106	0.6412	1.0237	1.4208	1.2256	0.8217	0.8283	1.6047	0.699	0.672	0.5409	1.1973	2.5608	1.2626	1.2061	1.3195	1.0942	0.9284	1.0778	0.5953
SLC7A2	22.1016	32.7776	34.4142	17.3825	52.2523	15.6134	12.3127	11.3909	38.4657	16.6983	10.7019	25.3186	11.4068	46.993	14.5424	35.5199	10.9535	31.8504	35.466	25.0207	33.6793	15.201	15.5239	49.4249	16.0828	19.4305	8.8999	23.8949	29.4643	23.3125	9.5417	39.6117	11.6637	24.0928	13.4208	14.8142	25.2088	11.064	49.2254	19.694	81.778	34.5532	19.0089	38.9357	37.5318	25.6916	15.756	18.3552	8.1801	54.0076	57.6374	26.1975	21.2288	42.3344	16.5102	32.0827	17.8203	13.7359
ARF5	91.1288	124.1091	101.7225	98.4329	109.9516	204.6134	122.9119	116.2684	115.9056	120.6931	108.2608	99.3186	133.6279	99.8728	153.6435	108.6987	95.9775	127.1075	115.9797	94.6033	133.4649	120.0931	110.5113	111.4798	98.1025	105.3604	96.7187	125.589	135.3442	106.2659	110.7505	102.9469	154.4622	131.1214	110.9771	188.0009	94.3694	203.4004	89.2327	159.4954	106.0917	120.7454	103.4149	124.0596	105.8564	111.9521	152.9555	136.4352	158.9745	114.249	116.203	133.8174	104.2383	102.2114	148.0812	89.8601	113.6191	146.6901
