	TCGA-55-6971-11A	TCGA-91-6847-11A	TCGA-55-6970-11A	TCGA-55-6983-11A	TCGA-44-6778-11A	TCGA-49-4490-11A	TCGA-55-6982-11A	TCGA-50-5930-11A	TCGA-55-6978-11A	TCGA-49-6761-11A	TCGA-55-6979-11A	TCGA-44-6145-11A	TCGA-38-4625-11A	TCGA-50-5931-11A	TCGA-73-4676-11A	TCGA-50-5939-11A	TCGA-44-6777-11A	TCGA-44-3396-11A	TCGA-50-5935-11A	TCGA-49-6744-11A	TCGA-38-4626-11A	TCGA-49-6742-11A	TCGA-44-6144-11A	TCGA-55-6986-11A	TCGA-91-6836-11A	TCGA-44-6146-11A	TCGA-91-6829-11A	TCGA-55-6981-11A	TCGA-91-6835-11A	TCGA-50-6595-11A	TCGA-55-6968-11A	TCGA-44-6148-11A	TCGA-49-4512-11A	TCGA-44-2668-11A	TCGA-55-6984-11A	TCGA-49-6745-11A	TCGA-55-6969-11A	TCGA-38-4627-11A	TCGA-91-6831-11A	TCGA-44-2665-11A	TCGA-50-5933-11A	TCGA-91-6849-11A	TCGA-55-6972-11A	TCGA-44-2662-11A	TCGA-50-5936-11A	TCGA-50-5932-11A	TCGA-44-2661-11A	TCGA-44-2657-11A	TCGA-38-4632-11A	TCGA-44-6147-11A	TCGA-91-6828-11A	TCGA-49-6743-11A	TCGA-55-6975-11A	TCGA-44-6776-11A	TCGA-44-5645-11A	TCGA-55-6985-11A	TCGA-55-6980-11A	TCGA-44-2655-11A
PRXL2B	17.3631	22.6048	21.3404	15.5213	24.2743	12.3687	30.8236	14.2989	26.1455	27.6383	26.3386	14.0486	15.9935	28.7158	17.6524	23.9626	25.0353	23.9806	28.3678	19.524	14.7258	17.8353	30.076	32.4397	15.3969	23.7793	14.9771	27.7648	36.545	28.6618	20.2874	27.9181	15.2185	17.7637	13.2218	17.142	21.7084	27.4387	14.1506	18.3047	13.7805	26.4252	27.5928	21.7994	19.4497	21.9592	32.1218	24.0304	16.6733	12.9301	18.7697	19.311	16.4423	19.1203	36.885	18.9849	25.8569	32.2704
TNFRSF14	30.7332	21.4614	35.9255	22.9563	41.5286	21.6173	44.0085	19.1954	34.6824	31.9657	33.0735	25.5345	26.4412	24.3989	26.7819	22.6814	26.1665	29.2049	26.7662	23.1318	35.0712	17.4568	42.0921	42.5567	31.3015	29.6337	42.0942	41.7224	30.6893	35.9891	42.7369	27.3729	22.7915	23.7731	23.3312	30.1402	42.7009	32.2559	21.8871	25.3946	19.5723	33.5935	49.09	31.8812	27.1683	26.8579	34.5312	40.5118	27.8707	21.4316	24.1737	17.4186	27.2303	27.2221	40.7786	31.411	46.4112	30.4475
PANK4	13.0042	14.7473	13.1264	10.9791	14.6856	8.0828	16.3433	13.4262	15.9048	14.9462	10.3914	11.2638	11.8256	10.4688	11.3326	14.961	14.7446	16.0131	14.1055	15.5444	12.8419	9.8084	15.9271	15.2087	11.9278	17.88	12.7718	16.0781	16.6859	15.8516	14.0635	14.4758	5.822	16.1589	12.7334	11.2862	12.4731	13.1456	12.8499	15.3629	9.5434	13.1965	15.4981	13.8763	14.3305	14.9422	17.9625	14.2732	7.9154	12.1371	13.2229	12.4536	11.8067	13.0273	18.4593	12.4154	14.7788	19.1276
CIB4	0.468	0.2239	0.5971	0.1193	0.9135	0.7535	0.3704	0.0982	0.2345	0.3808	0.3883	0.36	0.3012	0.1956	0.1942	0.4885	0.2001	0.4094	0.4546	0.5472	0.1706	0	0.7825	0.5572	0.3207	0.6074	0.3008	1.0356	0.394	0.2784	0.1006	0.3314	0.1689	0	0.2934	0.3459	0.6194	0.2067	0.6695	0.6151	0.1698	0.7071	0.3697	0.6196	0.6107	0.3896	0.6523	0.2973	0.3076	0.0779	0.3929	0.4871	0.8004	0.4434	0.8234	0.7766	0.6877	0.6744
MEGF11	0.7159	1.2724	2.3849	0.4437	2.2513	0.3113	0.6427	0.4696	0.5231	0.7417	0.3025	2.5049	0.5851	2.078	0.361	5.2304	2.2743	0.6862	4.1407	3.5809	0.4303	4.2723	0.6003	1.0926	1.0108	0.542	1.4381	1.7915	0.565	1.1889	0.962	0.5774	0.3049	1.0882	0.8104	0.9095	1.3269	1.8735	0.8712	3.093	0.2345	2.7166	1.5447	2.5341	0.6812	3.0762	1.8863	3.3238	0.0436	1.4977	0.866	4.0777	0.2692	2.2371	2.0914	0.7425	0.9936	2.922
C12orf43	6.7318	10.6213	8.1629	7.2636	9.7546	10.179	9.2173	8.6522	10.2475	8.0943	6.4709	7.9885	9.2052	9.2798	6.0098	7.1096	9.3731	8.1842	9.6617	10.2353	8.3168	8.2487	8.6479	9.4662	7.2352	9.2958	6.6882	10.0617	8.7257	8.758	8.914	9.1741	6.4316	6.9023	9.2713	10.9995	5.6696	8.2351	9.2204	9.3873	7.3637	9.7188	9.6803	7.3327	8.6188	11.217	10.0687	9.0862	6.713	7.642	9.1525	10.7844	8.9592	9.8001	9.9662	7.1571	9.3549	10.2879
PEX10	8.2936	10.2596	7.2854	7.2467	7.6913	8.5978	10.7032	7.3216	10.1632	8.9358	7.4324	7.851	10.9648	10.3677	8.2557	10.0051	9.6107	12.885	12.1092	7.9458	9.0172	8.7477	9.3358	10.8015	7.5554	10.061	6.6436	10.0869	9.9787	10.2219	9.0275	9.3865	6.8056	10.9487	7.1141	11.6981	8.549	10.3457	4.5277	13.0609	8.087	9.532	9.8309	10.331	10.2274	9.7147	12.0847	10.1966	8.2374	8.2137	8.9479	8.2566	10.0158	7.7716	10.9313	6.9602	9.0365	13.8299
RER1	42.2531	43.6757	45.9127	44.4746	45.5819	58.6478	51.077	40.6333	48.4784	44.1922	38.9816	38.0712	47.4318	38.7515	44.067	42.5969	39.7486	44.3153	46.4028	42.2184	47.9485	44.4411	47.6089	44.3507	42.5758	42.8507	41.6957	52.1521	45.9483	43.1842	49.0082	40.9556	42.3613	44.8277	42.6366	57.9449	40.9389	58.195	36.3346	46.1701	40.4072	44.098	44.9569	37.4325	42.98	44.3498	47.0854	46.7819	53.3316	35.7356	44.2713	46.9686	44.6997	44.8914	49.8115	43.3445	44.2227	45.6871
RADIL	7.4265	14.6248	7.5231	4.1315	6.2234	4.3081	10.4709	6.9442	8.5893	5.8197	4.7724	4.5157	5.4358	11.8369	4.5449	7.0782	4.795	11.3326	6.977	6.2807	4.2791	2.1824	8.0969	10.511	4.1988	13.2619	2.2424	11.0743	4.9735	10.1665	2.4678	9.2649	2.2466	4.3556	4.0527	3.7985	4.7657	4.2406	4.7486	8.5456	7.1325	13.5071	11.437	14.0342	6.9342	8.5763	9.6082	5.921	2.3506	6.8922	7.0853	3.6076	4.1054	5.6144	9.4195	4.3819	7.8711	9.8764
SKI	79.3054	86.9496	84.6278	62.3646	101.487	37.7802	100.9876	77.9744	100.8823	79.3561	60.2254	83.3625	61.0065	93.8017	36.0457	137.4484	74.0384	128.3266	112.4864	94.6375	49.9925	61.1353	72.4192	87.1652	67.5679	136.3046	57.3132	116.2482	86.3163	116.5877	61.0583	96.0243	20.5631	91.6839	62.0214	32.6836	76.9397	57.8146	87.3924	120.5481	117.8742	111.4664	97.1272	114.8586	111.6339	127.3376	130.2897	68.4117	36.122	92.0219	86.9706	64.6315	92.7223	72.5219	117.7404	59.0945	92.7136	127.1605
WIPI2	26.0195	29.924	24.5661	26.072	24.886	21.6314	32.4623	26.053	26.0004	31.7936	25.8006	21.1401	22.8218	28.6338	20.8322	28.0102	25.0219	25.4057	28.0664	30.0953	23.6506	27.2992	28.6051	31.5643	26.392	30.484	26.2751	34.3178	31.8582	29.6915	21.9038	31.4763	19.7332	24.6587	27.9797	22.2936	27.9185	21.186	21.5132	31.9148	20.4583	29.3658	32.3527	22.8493	30.2361	29.5963	34.4273	29.5755	22.7393	17.1819	24.8295	28.149	25.022	29.3447	32.677	24.881	30.4683	32.7747
LDLRAP1	26.9802	30.2463	33.7052	20.1095	31.1276	22.3125	37.6116	23.9064	29.7882	36.3711	24.7838	19.9789	23.6311	29.1637	20.0822	29.7185	27.7698	25.698	34.8579	38.974	22.8862	25.1559	34.7113	40.9368	29.2816	36.2016	41.7961	34.4782	29.5995	34.3652	26.3656	33.55	14.393	20.8285	23.1176	19.9206	25.4036	23.4617	19.4544	27.6603	18.7176	31.8189	34.9475	35.3491	39.6289	35.9196	35.982	34.1661	19.6736	15.943	22.3961	32.0427	23.8546	35.4412	40.8437	28.1382	37.5102	44.7964
AGAP1	9.5572	8.9354	10.5952	7.7838	10.1481	3.5325	14.0869	8.517	9.7186	8.4137	9.1798	10.1397	5.769	8.341	3.7045	14.5578	8.2475	12.4526	11.9869	15.5969	4.1599	11.2968	7.6354	15.4917	9.4376	15.7227	4.9117	12.3837	16.6524	12.33	5.9014	14.5431	3.4675	10.0814	8.2128	5.0398	9.3596	4.1075	6.9362	11.0132	11.4278	14.7053	10.9791	9.6365	13.9569	14.8923	13.2947	7.0053	4.3035	10.232	12.5798	8.6293	11.5654	10.8205	12.0117	9.3573	10.6494	13.0633
KRTCAP3	39.0022	58.3113	32.7909	44.3079	27.8705	71.9598	36.3869	32.1632	55.7528	49.4036	42.8636	32.1473	45.9531	34.4979	44.2923	29.5872	31.8629	32.296	38.139	28.7489	36.3656	47.7437	42.569	48.6028	43.3588	38.6021	21.0989	34.6764	57.7561	33.7285	44.4767	44.0947	57.2986	29.5138	39.5918	84.7554	35.0287	39.9869	24.5346	47.8335	35.9539	39.5509	41.7224	33.9809	33.4016	34.8844	36.9447	38.1602	43.6475	31.531	43.7093	34.509	44.767	42.1464	40.8861	32.1694	47.9	42.8727
ANKRD61	1.9914	1.232	1.4018	1.3132	0.5362	0.1843	1.8119	0.3604	1.1183	0.2794	0.1899	0.3962	0.1894	0.3588	0.285	0.215	0.367	0.7009	0.667	0.803	0.1877	0.2296	0.893	1.0062	1.1766	0.7131	1.1036	2.7134	1.373	1.5116	0.5906	1.4103	0.0619	0.8842	0.8252	0.3807	0.9089	0.1011	0.9823	0.4889	0.2492	0.3459	0.6329	0.2728	0.4481	1.1433	0.7976	0.3817	0.0752	0.7429	1.081	0.5718	0.4893	0.5692	0.714	1.5574	1.0091	0.4241
